age,cps_hours,hours_Current parameters,hours_Calibrated parameters,chi_n_Current parameters,chi_n_Calibrated parameters,scf_wealth,wealth_Current parameters,wealth_Calibrated parameters
68,0.09595968635225442,0.33717651075052124,0.10040957770699471,33.13353793,991.9281837026812,1299075.5753009191,1067079.1411372342,1050399.0162552518
69,0.09260085389783922,0.33839642543103227,0.08921089740784972,32.89186997,1261.4846041494607,1170604.0484451698,1108261.9138993195,1055503.8875409884
70,0.07915188463786778,0.31379214749408985,0.07934192963066122,38.07083882,1599.2350979293458,1621576.7283703343,1149271.5065424913,1056642.4912184663
71,0.06634698816649573,0.3083717074044103,0.06798037025115185,39.2992811,2169.628151216278,1161827.667472928,1183456.2387960735,1054167.9518159374
72,0.05850823671327582,0.30474453171652405,0.05959712680177446,40.07987878,2815.931028125064,961985.0343413167,1215319.7225098729,1047375.583832733
73,0.0539963564275744,0.32510236930449476,0.05460378945558945,35.19951571,3360.9320068457096,1922155.378843184,1245189.9956493448,1037448.2610135537
74,0.05136406931743814,0.32043753415432463,0.04892116408545947,35.97943562,4173.399237057143,1131527.7609547325,1278487.7247427853,1025810.9950591127
75,0.04145630103826784,0.3144126394480373,0.042455975876262826,37.05601334,5486.271787819395,1445400.2614403723,1309841.9097647367,1012522.9832826989
76,0.03459538284003425,0.31141561405888624,0.0388341127383297,37.42979341,6525.916841138703,974803.7073965501,1339398.37357589,997702.300236596
77,0.04049583460618028,0.30779817538086346,0.03746782273914602,37.91576867,7012.79603280365,811487.2313014235,1368038.7972454915,982540.8553718483
78,0.037357154768129994,0.3031138360096969,0.03777899926216646,38.62775142,6925.732213674185,1021460.9214053305,1395564.2189264765,967634.1820152876
79,0.03553052527137181,0.2976898082963595,0.036428518631761435,39.4885405,7411.731485178616,1137526.8226149771,1421561.4891263999,953193.0690277813
80,,0.30569229840537304,0.036408317248976405,37.10609921,7411.731485178616,,1445753.7593532954,938382.2003450415
81,,0.2921392306478586,0.036367637234099554,40.03988031,7411.731485178616,,1471035.6707199025,923537.4989800357
82,,0.28746232233127966,0.0363108865630609,40.86564363,7411.731485178616,,1493469.7673880376,908657.0858542286
83,,0.2827629981926129,0.03623357712948641,41.73645892,7411.731485178616,,1514880.6757849297,893889.6292044111
