year,age,networth,networth_infadj,wgt,income,wageinc,bussefarminc,intdivinc,kginc,ssretinc,transfothinc,income_infadj
2010,56,38522.1847690387,45809.97476899096,3283.789894923181,68008.40703172512,0.0,0.0,0.0,0.0,68008.40703172512,0.0,80874.52539053743
2010,56,31986.866416978777,38038.2772235337,3282.763666958667,68008.40703172512,0.0,0.0,0.0,0.0,68008.40703172512,0.0,80874.52539053743
2010,63,-41492.78401997503,-49342.56456238061,4229.9085986871205,48577.43359408938,0.0,3469.8166852920986,0.0,0.0,19430.97343763575,24982.680134103106,57767.51813609817
2010,63,-41492.78401997503,-49342.56456238061,4223.972672263098,48577.43359408938,0.0,3469.8166852920986,0.0,0.0,19430.97343763575,26370.60680821994,57767.51813609817
2010,63,-49687.540574282146,-59087.639854490015,4227.561282509929,48577.43359408938,0.0,3469.8166852920986,0.0,0.0,19430.97343763575,26370.60680821994,57767.51813609817
2010,63,-45576.50436953808,-54198.86041628181,4244.1133412905865,48577.43359408938,0.0,3469.8166852920986,0.0,0.0,19430.97343763575,24982.680134103106,57767.51813609817
2010,63,-44224.3695380774,-52590.92299308375,4223.754374838068,48577.43359408938,0.0,3469.8166852920986,0.0,0.0,19430.97343763575,24982.680134103106,57767.51813609817
2010,50,141086.39200998752,167777.71294581692,3243.1738438999387,66620.48035760828,66620.48035760828,0.0,0.0,0.0,0.0,0.0,79224.0248723632
2010,50,46710.11235955056,55546.929165023605,3273.159036707851,66620.48035760828,66620.48035760828,0.0,0.0,0.0,0.0,0.0,79224.0248723632
2010,50,109673.15855181024,130421.59099273085,3282.057510233484,66620.48035760828,66620.48035760828,0.0,0.0,0.0,0.0,0.0,79224.0248723632
2010,50,79762.29712858926,94852.06617653152,3229.466682336407,66620.48035760828,66620.48035760828,0.0,0.0,0.0,0.0,0.0,79224.0248723632
2010,50,89459.42571785269,106383.73860552766,3243.9830413585637,66620.48035760828,66620.48035760828,0.0,0.0,0.0,0.0,0.0,79224.0248723632
2010,53,5053.433208489389,6009.4630968008,3470.1043074619038,13046.51073669829,0.0,13046.51073669829,0.0,0.0,0.0,0.0,15514.704870837795
2010,53,5053.433208489389,6009.4630968008,3479.2511978817565,13046.51073669829,0.0,13046.51073669829,0.0,0.0,0.0,0.0,15514.704870837795
2010,53,4916.853932584269,5847.045175265642,3488.709957546705,13046.51073669829,0.0,13046.51073669829,0.0,0.0,0.0,0.0,15514.704870837795
2010,53,5053.433208489389,6009.4630968008,3432.807785086875,13046.51073669829,0.0,13046.51073669829,0.0,0.0,0.0,0.0,15514.704870837795
2010,53,4916.853932584269,5847.045175265642,3448.2381564652023,13046.51073669829,0.0,13046.51073669829,0.0,0.0,0.0,0.0,15514.704870837795
2010,85,36076049.93757803,42901069.7942963,361.2037983989079,208189.00111752588,0.0,6106.877366114091,1630813.842087286,346981.6685292098,0.0,0.0,247575.077726135
2010,85,36076049.93757803,42901069.7942963,379.48123401394975,208189.00111752588,0.0,6106.877366114091,1668287.8622884408,346981.6685292098,0.0,0.0,247575.077726135
2010,85,36076049.93757803,42901069.7942963,361.88673663466454,208189.00111752588,0.0,6245.6700335257765,1609994.9419755335,346981.6685292098,0.0,0.0,247575.077726135
2010,85,36074684.14481898,42899445.615080945,373.049862923531,208189.00111752588,0.0,6245.6700335257765,1609994.9419755335,346981.6685292098,0.0,0.0,247575.077726135
2010,85,36076049.93757803,42901069.7942963,370.4135159706139,208189.00111752588,0.0,4441.365357173885,1609994.9419755335,346981.6685292098,0.0,0.0,247575.077726135
2010,87,156383.2709113608,185968.52015775445,6515.330802866942,16655.12008940207,0.0,0.0,0.0,0.0,18043.04676351891,0.0,19806.0062180908
2010,87,131799.00124843945,156733.29428142624,6505.627207554009,18043.04676351891,0.0,0.0,0.0,0.0,16655.12008940207,0.0,21456.506736265033
2010,87,90961.79775280898,108170.33574241438,6296.7670338527305,16655.12008940207,0.0,0.0,0.0,0.0,16655.12008940207,0.0,19806.0062180908
2010,87,125926.09238451935,149749.3236554145,6537.828954474363,16655.12008940207,0.0,0.0,0.0,0.0,16655.12008940207,0.0,19806.0062180908
2010,87,93556.80399500624,111256.27625158236,6298.262761592262,16655.12008940207,0.0,0.0,0.0,0.0,16655.12008940207,0.0,19806.0062180908
2010,42,0.0,0.0,2672.5146272988372,13879.266741168394,0.0,0.0,0.0,0.0,0.0,13879.266741168394,16505.005181742337
2010,42,0.0,0.0,2667.865540466847,13879.266741168394,0.0,0.0,0.0,0.0,0.0,13879.266741168394,16505.005181742337
2010,42,0.0,0.0,2670.5470892015956,15267.193415285232,0.0,0.0,0.0,0.0,0.0,13879.266741168394,18155.505699916568
2010,42,0.0,0.0,2670.7958278989377,13879.266741168394,0.0,0.0,0.0,0.0,0.0,13879.266741168394,16505.005181742337
2010,42,0.0,0.0,2670.482847832781,13879.266741168394,0.0,0.0,0.0,0.0,0.0,13879.266741168394,16505.005181742337
